artists,label,label_start_date,label_end_date
SOYOU,BPM Entertainment,2021-09-29,2024-01-31
SOYOU,Starship Entertainment,,2021-09-08
SPEED,Core Contents Media,,
SPICA,B2M Entertainment,,
SPICA.S,B2M Entertainment,,
SS501,DSP Media,,
STAYC,High Up Entertainment,,
SU A,Dreamcatcher Company,,
SUHO,SM Entertainment,,
SULLI,SM Entertainment,,
SUNMI,JYP Entertainment,,
SUNNY,SM Entertainment,,
SUNYE,BlockBerry Creative,,
SUPER JUNIOR,SM Entertainment,,
SUPER JUNIOR HAPPY,SM Entertainment,,
SUPER JUNIOR-D&E,SM Entertainment,,
SUPER JUNIOR-K.R.Y.,SM Entertainment,,
SUPER JUNIOR-M,SM Entertainment,,
SUPER JUNIOR-T,SM Entertainment,,
SUPER JUNIOR‐L.S.S.,SM Entertainment,,
SUPERBEE,fantagio music,,
SUV (SHINDONG&UV),SM Entertainment,,
Secret,Rainbow Bridge World,,
ShinVi,SM Entertainment,,
Skull,YG Entertainment,,
Solar,Rainbow Bridge World,,
Soulights,YMC Entertainment,,
Starship Planet,Starship Entertainment,,
Stray Kids,JYP Entertainment,,
SuperM,SM Entertainment,,
Suzy,JYP Entertainment,,
Swi.T,YG Entertainment,,
T-ARA N4,Core Contents Media,,
T.O.P,YG Entertainment,,
TAEMIN,BPM Entertainment,2024-04-01,
TAEMIN,SM Entertainment,,2024-03-31
TAEYANG,The Black Label,2022-12-27,
TAEYANG,YG Entertainment,,2022-12-26
TAEYEON,SM Entertainment,,
TAEYONG,SM Entertainment,,
TASTY,Woollim Entertainment,,
TEAM B,YG Entertainment,,
TEN,SM Entertainment,,
THE 8,Pledis Entertainment,,
THE BOYZ,ICONIX,,
THE NEW SIX,P NATION,,
TO1,WAKEONE,,
TOMORROW X TOGETHER,Big Hit Entertainment,,
TREASURE,YG Entertainment,,
TREASURE (T5),YG Entertainment,,
TWICE,JYP Entertainment,,
TWS,Pledis Entertainment,,
Tempest,Yuehua Entertainment,,
Tiffany Young,SM Entertainment,,2017-10-09
Tiffany Young,Transparent Arts,2017-10-10,2022-12-26
Toheart,Woollim Entertainment,,
Triple H,Cube Entertainment,,
Triple T,SM Entertainment,,
Trouble Maker,Cube Entertainment,,
T‐ARA,Core Contents Media,,
U-CUBE,Cube Entertainment,,
U-KISS,NH Media,,
UNIQ,Yuehua Entertainment,,
V,Big Hit Entertainment,,
VCHA,JYP Entertainment,,
VERIVERY,Jellyfish Entertainment,,
VERNON,Pledis Entertainment,,
VIVIZ,BPM Entertainment,,
VIXX,Jellyfish Entertainment,,
VIXX LR,Jellyfish Entertainment,,
VROMANCE,Rainbow Bridge World,,
WENDY,SM Entertainment,,
WINNER,YG Entertainment,,
WJSN : THE BLACK,Starship Entertainment,,
WOOZI,Pledis Entertainment,,
Wanna One,YMC Entertainment,,
WayV-TEN & YANGYANG,SM Entertainment,,
Weki Meki,fantagio music,,
Whee In,Rainbow Bridge World,,
Wonder Girls,JYP Entertainment,,
Woojoo jjokkomi,SM Entertainment,,
XIUMIN,SM Entertainment,,
Xdinary Heroes,JYP Entertainment,,
YENA,Yuehua Entertainment,,
YERI,SM Entertainment,,
YG Family,YG Entertainment,,
YMGA,YG Entertainment,,
YOOHYEON,Dreamcatcher Company,,
YOUNG POSSE,DSP Media,,
YUJU,Konnect Entertainment,2021-09-01,2024-04-30
YUJU,Source Music,,2021-08-30
YUQI,Cube Entertainment,,
YURI,SM Entertainment,,
Younique Unit,SM Entertainment,,
Y틴,Starship Entertainment,,
ZEROBASEONE,WAKEONE,,
ZICO,KOZ Entertainment,2018-11-26,
ZICO,Seven Seasons,,2018-11-25
aespa,SM Entertainment,,
f(x),SM Entertainment,,
fromis_9,OFF THE RECORD Entertainment,2018-09-21,2021-08-16
fromis_9,Pledis Entertainment,2021-08-17,
fromis_9,WAKEONE,,2018-09-20
g.o.d,SidusHQ,,
gugudan,Jellyfish Entertainment,,
iKON,143 Entertainment,2022-12-31,
iKON,YG Entertainment,,2022-12-30
j‐hope,Big Hit Entertainment,,
miss A,JYP Entertainment,,
myunDo,fantagio music,,
tripleS,MODHAUS,,
uBEAT,NH Media,,
xikers,KQ Entertainment,,
天上智喜 The Grace,SM Entertainment,,
威神V,SM Entertainment,,
가인,APOP Entertainment,2013-11-26,
가인,LOEN Entertainment,2011-12-21,2013-11-25
가인,Nega Network,,2011-12-20
가희,Pledis Entertainment,,
간미연,Source Music,,
강대성,YG Entertainment,,
강승윤,YG Entertainment,,
강영현,JYP Entertainment,,
강타,SM Entertainment,,
구하라,DSP Media,,
규진,JYP Entertainment,,
규현,SM Entertainment,,
기욱,Rainbow Bridge World,,
길미,GYM Entertainment,,
김규종,B2M Entertainment,,
김동완,Good Entertainment,2003-05-01,2011-05-03
김동완,SM Entertainment,,2003-04-30
김동완,Shinhwa Company,2011-05-04,
김보아,Rainbow Bridge World,,
김보형,B2M Entertainment,,
김성규,Woollim Entertainment,,
김세정,Jellyfish Entertainment,,
김원필,JYP Entertainment,,
김재환,WAKEONE,,
김현중,LOEN Entertainment,,
남우현,Woollim Entertainment,,2022-10-07
남태현,The South,,
노지훈,Cube Entertainment,,
니콜,B2M Entertainment,,2022-07-11
니콜,JWK Entertainment,2022-07-12,
다나,SM Entertainment,,
다이아 프로젝트,Happy Face Entertainment,,
달수빈,Happy Face Entertainment,,
더블에이,LOEN Entertainment,,
도영,SM Entertainment,,
동우,Woollim Entertainment,,
동해,SM Entertainment,,
디셈버,Happy Face Entertainment,,
러비,Starship Entertainment,,
려욱,SM Entertainment,,
로이킴,WAKEONE,,
류수정,Woollim Entertainment,,
문문,Starship Entertainment,,
문희준,SM Entertainment,,
미료,APOP Entertainment,2015-10-01,
미료,Nega Network,,2015-09-30
민서,APOP Entertainment,,
민아,DreamT Entertainment,,
민현,Pledis Entertainment,,
박경,Seven Seasons,,
박신혜,FNC Entertainment,,
박지윤,JYP Entertainment,,
백아연,JYP Entertainment,,
백호,Pledis Entertainment,,
보라,FNC Entertainment,,
부석순,Pledis Entertainment,,
블랙펄,Core Contents Media,,
샤인,DSP Media,,
서은광,Cube Entertainment,,
서현,SM Entertainment,,
성민,SM Entertainment,,
셔누X형원,Starship Entertainment,,
소나무,BPM Entertainment,,
소율,Rainbow Bridge World,,
소정,BlockBerry Creative,,
손담비,Pledis Entertainment,,
솔지하니,Banana Culture,,
수안,Rainbow Bridge World,,
승관,Pledis Entertainment,,
승리,YG Entertainment,,
아우라,LOEN Entertainment,,
양요섭,Around US Entertainment,12-09-2016,
양요섭,Cube Entertainment,,12-08-2016
엄지,Source Music,,
엔,Jellyfish Entertainment,,
여고생,DSP Media,,
예성,SM Entertainment,,
오구오구,Jellyfish Entertainment,,
오투원,LOEN Entertainment,,
용준형,Around US Entertainment,12-09-2016,
용준형,Cube Entertainment,,12-08-2016
우주소녀,Starship Entertainment,,
우주소녀 쪼꼬미,Starship Entertainment,,
우진영 & 김현수,Happy Face Entertainment,,
원웨이,YG Entertainment,,
유경,YG Entertainment,,
유권,Seven Seasons,,
유노윤호,SM Entertainment,,
유빈,JYP Entertainment,,
유선호,Cube Entertainment,,
유지애,Woollim Entertainment,,
유회승,FNC Entertainment,,
육성재,Cube Entertainment,,
윤도운,JYP Entertainment,,
윤산하,fantagio music,,
윤서연,MODHAUS,,
윤아,SM Entertainment,,
은지원,GYM Entertainment,,2015-06-29
은지원,YG Entertainment,2016-04-14,
은혁,SM Entertainment,,
이기광,Around US Entertainment,12-09-2016,
이기광,Cube Entertainment,,12-08-2016
이달의 소녀,BlockBerry Creative,,
이달의 소녀 1/3,BlockBerry Creative,,
이달의 소녀 yyxy,BlockBerry Creative,,
이무진,BPM Entertainment,,
이민혁,Cube Entertainment,,
이민호,FNC Entertainment,,
이진솔,SM Entertainment,,
이창섭,Cube Entertainment,,
이홍기,FNC Entertainment,,
이효리,Antenna Music,2023-02-16,
이효리,B2M Entertainment,2009-06-30,2014-12-31
이효리,Core Contents Media,2006-11-06,2009-06-30
이효리,DSP Media,,2006-11-06
이효리,Kiwi Media Group,2015-01-01,2017-12-31
임현식,Cube Entertainment,,
장우영,JYP Entertainment,,
장현승,Cube Entertainment,,
전진,Good Entertainment,,
정세운,Starship Entertainment,,
정용화,FNC Entertainment,,
정일훈,Cube Entertainment,,
정진운,JYP Entertainment,,
제아,APOP Entertainment,2015-10-01,
제아,Nega Network,,2015-09-30
조권,JYP Entertainment,,
주영,Starship Entertainment,,
준호,JYP Entertainment,,
지민,Alomalo Entertainment,2022-07-14,2023-08-18
지민,FNC Entertainment,,2022-01-12
지연,Core Contents Media,,
지원,FNC Entertainment,,
지은,YG Entertainment,,
진,Woollim Entertainment,,
진진,fantagio music,,
진호,Cube Entertainment,,
차은우,fantagio music,,
채영,JYP Entertainment,,
천둥,APOP Entertainment,,
천상지희 다나&선데이,SM Entertainment,,
초신성,Core Contents Media,,
초아,FNC Entertainment,,2017-12-31
최강창민,SM Entertainment,,
최진혁,FNC Entertainment,,
클로버,GYM Entertainment,,
태일,Seven Seasons,,
플라잉 걸스,Nega Network,,
하나,Jellyfish Entertainment,,
하성운,BPM Entertainment,,
하슬,MODHAUS,,
허영생,B2M Entertainment,,
허영지,DSP Media,,
혁,Jellyfish Entertainment,,
현성,LOEN Entertainment,,
혜정,FNC Entertainment,,
황수연,Dreamcatcher Company,,
효민,Core Contents Media,,
후이,Cube Entertainment,,
휘성,YG Entertainment,,
휘영,FNC Entertainment,,
