title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_major_label
Gate 4,41000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
Love,261000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
Outro,94000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
Paty Time,224000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
Walking in the Rain,297000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
거절의 이유,215000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
겨울편지,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
기사도,223000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
기억해 줄래,244000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
다같이 해요,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
돌연변이,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
동급생,184000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
말괄량이 길들이기,201000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
미성년자 관람불가,227000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
미인추방,230000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
