title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
Young Nation,323520.0,"JINUSEAN, 이현도, 양현석",Jinusean,,,KR,1997-03-01,YG Entertainment,JINUSEAN,1997,False,True
('Cause) I'm Your Girl,223000.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
Good-Bye,247440.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
Nonsense,235600.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
ROCK'n 나라,232666.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
그대의 향기,266560.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
오늘이 지나면,268066.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
완전한 이유,274493.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
친구,273706.0,S.E.S.,S.E.S.,,,KR,1997-11,SM Entertainment,S.E.S.,1997,False,True
Dream Comes True,225000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
For You,77000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Gate 1,79000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Gate 2,182000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Gate 3,40000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Gate 4,41000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Love,261000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Outro,94000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
Paty Time,224000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
