Year,Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
1997,돌연변이,SECHSKIES,1,True,mutation (돌연변이),sechskies,https://www.youtube.com/watch?v=i7FXXfLaRBs
1997,배신감,SECHSKIES,2,True,bad girl (배신감),sechskies,https://www.youtube.com/watch?v=nG0lN_H1NIQ
1997,사랑 신고식,SECHSKIES,3,True,love announcement (사랑 신고식),sechskies,https://www.youtube.com/watch?v=CMJRpk0Fwd0
1997,미인추방,SECHSKIES,2,True,beauty deportation (미인추방),sechskies,https://www.youtube.com/watch?v=Rck-E4zLJS8
1997,기억해 줄래,SECHSKIES,2,True,remember me (기억해 줄래),sechskies,https://www.youtube.com/watch?v=fSpAFYgYnaQ
1997,Walking in the Rain,SECHSKIES,0,True,walking in the rain (walking in the rain),sechskies,https://www.youtube.com/watch?v=iSYCOd-uiLY
1997,사랑하는 너에게,SECHSKIES,2,True,i love you (사랑하는 너에게),sechskies,https://www.youtube.com/watch?v=3gMsacdjBhU
1997,We are the future,H.O.T.,0,True,we are the future,h.o.t. - topic,https://www.youtube.com/watch?v=jvN8q1zrAWc
1997,너와 나 You & I,H.O.T.,0,True,너와 나 (you & i),h.o.t. - topic,https://www.youtube.com/watch?v=nvLIgk54HpU
1997,늑대와 양 Wolf & Sheep,H.O.T.,0,True,늑대와 양 (wolf & sheep),h.o.t. - topic,https://www.youtube.com/watch?v=eVI3VKvbwsQ
1997,열등감 The end of my inferiority complex,H.O.T.,0,True,열등감 (the end of my inferiority complex),h.o.t. - topic,https://www.youtube.com/watch?v=FPjo2HbgwYg
1997,행복 Full of happiness,H.O.T.,8,True,h.o.t. - '행복 (full of happiness)' tv가요 20 19970907,from h.o.t.,https://www.youtube.com/watch?v=XnRgG5w_ObY
1997,For You,SECHSKIES,8,True,sechskies - the 1st mini album 'all for you' jacket mood film,sechskies,https://www.youtube.com/watch?v=iTLCVzJemNM
1997,Celebrate,JINUSEAN,7,True,서로 (to each other),jinusean - topic,https://www.youtube.com/watch?v=5YzQPzxcCKo
1997,Dream Comes True,SECHSKIES,0,True,dream comes true (dream comes true),sechskies,https://www.youtube.com/watch?v=Xx7iRExR5xU
1997,완전한 이유,S.E.S.,1,True,완전한 이유,s.e.s. - topic,https://www.youtube.com/watch?v=uThVpgTWGG4
1997,자유롭게 날 수 있도록 Free to fly,H.O.T.,0,True,자유롭게 날수 있도록 (free to fly),h.o.t. - topic,https://www.youtube.com/watch?v=qFXPyxD2IwA
1997,오늘이 지나면,S.E.S.,1,True,오늘이 지나면,s.e.s. - topic,https://www.youtube.com/watch?v=W0me7wMzji0
1997,친구,S.E.S.,1,True,친구,s.e.s. - topic,https://www.youtube.com/watch?v=Swr8RSJCIA4
1997,내가,JINUSEAN,0,True,내가 (i will),jinusean - topic,https://www.youtube.com/watch?v=WNsHA5Mr80U
1998,나쁜 여자,G.O.D,0,False,지오디(god) 나쁜여자 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=KJVCKjBFeHo
1998,난 너에게,G.O.D,0,False,지오디(god) 난 너에게 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=NpS3WAsX5nw
1997,Gasoline,JINUSEAN,2,True,gasoline,jinusean - topic,https://www.youtube.com/watch?v=DRXZt6ByHwg
1998,니가 다시 돌아올 수 있도록,g.o.d,0,True,so you can come back to me (니가 다시 돌아올 수 있도록) (prod. yoon kye sang)...,g.o.d - topic,https://www.youtube.com/watch?v=J77VbiOevbU
1998,날 기다려줘,G.O.D,4,True,날 기다려줘 (날 기다려줘),g.o.d - topic,https://www.youtube.com/watch?v=MSUTG25PqsY
1998,난 너에게,g.o.d,0,False,지오디(god) 난 너에게 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=NpS3WAsX5nw
1998,날 기다려줘,g.o.d,4,True,날 기다려줘 (날 기다려줘),g.o.d - topic,https://www.youtube.com/watch?v=MSUTG25PqsY
1998,어머님께,g.o.d,0,False,god(지오디) - 어머님께 [가사/lyrics],웅키,https://www.youtube.com/watch?v=XqExbtyrbs0
1998,유혹,Fin.K.L,2,False,핑클 유혹 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=Oudp9U3CgI4
1998,사랑의 향기,Fin.K.L,0,False,핑클 사랑의 향기 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=J59uPUX9n2M
1998,Good Love,1TYM,2,True,1tym + good love from 1tym's 1st ablum,taiji1tym,https://www.youtube.com/watch?v=AcuZ1ivZLYM
1998,윙크,Fin.K.L,2,False,핑클 윙크 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=tP9YhSLiqsI
1998,나쁜 여자,g.o.d,0,False,지오디(god) 나쁜여자 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=KJVCKjBFeHo
1998,블루데이,Fin.K.L,2,False,핑클 블루데이 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=Y5r8freEHh4
1998,약속,g.o.d,0,False,지오디(god) 약속 (narration 강경헌) (가사 첨부),hankook nore,https://www.youtube.com/watch?v=woHVIglPP_E
1998,행복한 약속,Fin.K.L,0,False,핑클 행복한 약속 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=XwlpF2uU04U
1998,작은 남자들과 함께,g.o.d,0,False,지오디(god) 작은 남자들과 함께 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=uDsb91qmvVA
1998,Heaven,1TYM,0,True,heaven,1tym - topic,https://www.youtube.com/watch?v=coRbhsydZgo
1998,Falling in Love,1TYM,0,True,falling in love,1tym - topic,https://www.youtube.com/watch?v=H3mn-dWQWw4
1998,관찰,g.o.d,5,False,"god (지오디) - ""observation (관찰)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=cw7FVNSMg9c
1998,관찰,G.O.D,5,False,"god (지오디) - ""observation (관찰)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=cw7FVNSMg9c
1998,1TYM,1TYM,8,True,without you,1tym - topic,https://www.youtube.com/watch?v=T6cdoRHAHFY
1998,나를 기다려,1TYM,1,True,나를 기다려 (wait for me),1tym - topic,https://www.youtube.com/watch?v=zQiwD7g_fp0
1998,Evolution (outro),S#arp,0,True,evolution (outro),s#arp - topic,https://www.youtube.com/watch?v=3QBKb8hIq-c
1998,뭘 위한 세상인가,1TYM,0,True,뭘 위한 세상인가 (what's this world for),1tym - topic,https://www.youtube.com/watch?v=V0IvHdUNCS0
1998,널 일으켜,1TYM,2,True,널 일으켜,1tym - topic,https://www.youtube.com/watch?v=DHBb5WXLF9g
1998,탈출,1TYM,0,True,탈출,1tym - topic,https://www.youtube.com/watch?v=SdiTRH0i4E8
1998,Christmas Story,S#arp,0,True,christmas story,s#arp - topic,https://www.youtube.com/watch?v=UKOK5-6goj4
1998,"Like This, Like That",JINUSEAN,0,True,"like this, like that",jinusean - topic,https://www.youtube.com/watch?v=KVI1GRpncwY
1998,낙서,Fin.K.L,0,False,핑클 낙서 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=ZSBewsUOm2A
1998,Blue Rain,Fin.K.L,1,False,"fin.k.l - ""blue rain"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=M5jMCBtufbM
1998,Throw Them Hands Up,JINUSEAN,1,True,throw them hands up,jinusean - topic,https://www.youtube.com/watch?v=zesUcD5XaHc
1998,#,S#arp,4,False,[official audio] 샵(s#arp) - sweety,riak official,https://www.youtube.com/watch?v=q6Fw7GLT8MI
1998,루비 (漏悲) 슬픈눈물,Fin.K.L,2,True,ruby (sorrowful tears) (루비(淚悲):(슬픈 눈물)),fin.k.l - topic,https://www.youtube.com/watch?v=xcrunFzB428
1998,Shadow,Fin.K.L,3,False,fin.k.l (핑클) - shadow [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=1Zg5EZ-gXtI
1998,가,Fin.K.L,3,False,핑클 서랍속의 동화 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=4w6RBBBWQf8
1998,내 남자 친구에게,Fin.K.L,0,False,fin.k.l (핑클) - to my boyfriend (내 남자 친구에게) [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=8TpsyaPTR6g
1998,Evolution…2&3,S#arp,1,True,evolution…2 & 3,s#arp - topic,https://www.youtube.com/watch?v=4M62HLpHZF4
1998,Go to Jamaica,S#arp,1,True,go to jamaica,s#arp - topic,https://www.youtube.com/watch?v=nx6Sq_yvDT0
1998,Lying,S#arp,0,True,샵 (s#arp) - lying,the s#arp,https://www.youtube.com/watch?v=4VrPRcpcmjc
1998,Sad Way,S#arp,1,True,sad way,s#arp - topic,https://www.youtube.com/watch?v=1IjeOV_B-xs
1998,내게 남은 내겐 그대 하나,S#arp,0,False,샵(s#arp) 내게 남은 내겐 그대 하나 (가사 첨부),all nore,https://www.youtube.com/watch?v=79L3af4rNv8
1998,Dreams Come True,S.E.S.,5,False,aespa 'dreams come true' lyrics (에스파 dreams come true 가사) (color coded lyrics),jaeguchi,https://www.youtube.com/watch?v=IC56khwGtdQ
